,locationId,location,parameter,value,unit,country,city,isMobile,isAnalysis,entity,sensorType,date.utc,date.local,coordinates.latitude,coordinates.longitude
32,1938,Seattle-Beacon Hill,pm10,10.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-24 19:00:00+00:00,2024-03-24 12:00:00,47.568236000000006,-122.308628
33,1938,Seattle-Beacon Hill,pm10,12.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-24 18:00:00+00:00,2024-03-24 11:00:00,47.568236000000006,-122.308628
34,1938,Seattle-Beacon Hill,pm10,8.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-24 17:00:00+00:00,2024-03-24 10:00:00,47.568236000000006,-122.308628
35,1938,Seattle-Beacon Hill,pm10,6.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-24 16:00:00+00:00,2024-03-24 09:00:00,47.568236000000006,-122.308628
36,1938,Seattle-Beacon Hill,pm10,7.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-24 15:00:00+00:00,2024-03-24 08:00:00,47.568236000000006,-122.308628
37,1938,Seattle-Beacon Hill,pm10,11.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-24 14:00:00+00:00,2024-03-24 07:00:00,47.568236000000006,-122.308628
38,1938,Seattle-Beacon Hill,pm10,10.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-24 13:00:00+00:00,2024-03-24 06:00:00,47.568236000000006,-122.308628
39,1938,Seattle-Beacon Hill,pm10,10.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-24 12:00:00+00:00,2024-03-24 05:00:00,47.568236000000006,-122.308628
40,1938,Seattle-Beacon Hill,pm10,10.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-24 11:00:00+00:00,2024-03-24 04:00:00,47.568236000000006,-122.308628
41,1938,Seattle-Beacon Hill,pm10,5.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-24 10:00:00+00:00,2024-03-24 03:00:00,47.568236000000006,-122.308628
42,1938,Seattle-Beacon Hill,pm10,6.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-24 09:00:00+00:00,2024-03-24 02:00:00,47.568236000000006,-122.308628
43,1938,Seattle-Beacon Hill,pm10,12.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-24 08:00:00+00:00,2024-03-24 01:00:00,47.568236000000006,-122.308628
44,1938,Seattle-Beacon Hill,pm10,9.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-24 07:00:00+00:00,2024-03-24 00:00:00,47.568236000000006,-122.308628
45,1938,Seattle-Beacon Hill,pm10,11.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-24 06:00:00+00:00,2024-03-23 23:00:00,47.568236000000006,-122.308628
46,1938,Seattle-Beacon Hill,pm10,7.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-24 05:00:00+00:00,2024-03-23 22:00:00,47.568236000000006,-122.308628
47,1938,Seattle-Beacon Hill,pm10,6.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-24 04:00:00+00:00,2024-03-23 21:00:00,47.568236000000006,-122.308628
48,1938,Seattle-Beacon Hill,pm10,7.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-24 03:00:00+00:00,2024-03-23 20:00:00,47.568236000000006,-122.308628
49,1938,Seattle-Beacon Hill,pm10,10.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-24 02:00:00+00:00,2024-03-23 19:00:00,47.568236000000006,-122.308628
50,1938,Seattle-Beacon Hill,pm10,9.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-24 01:00:00+00:00,2024-03-23 18:00:00,47.568236000000006,-122.308628
51,1938,Seattle-Beacon Hill,pm10,7.0,µg/m³,US,,False,,Governmental Organization,reference grade,2024-03-24 00:00:00+00:00,2024-03-23 17:00:00,47.568236000000006,-122.308628
